iter	Passed	Remaining
399	49710	74566
400	49845	74457
401	49981	74350
402	50123	74252
403	50258	74144
404	50395	74038
405	50533	73932
406	50668	73823
407	50799	73709
408	50929	73592
409	51053	73466
410	51177	73341
411	51417	73382
412	51570	73298
413	51707	73190
414	51838	73074
415	51985	72979
416	52117	72864
417	52288	72804
418	52455	72735
419	52606	72647
420	52764	72566
421	52936	72505
422	53071	72392
423	53227	72308
424	53394	72239
425	53546	72149
426	53690	72048
427	53826	71936
428	53957	71817
429	54092	71704
430	54239	71605
431	54388	71510
432	54539	71417
433	54666	71293
434	54805	71184
435	54958	71093
436	55107	70995
437	55241	70880
438	55361	70747
439	55493	70627
440	55632	70518
441	55783	70423
442	55930	70323
443	56070	70214
444	56216	70112
445	56368	70018
446	56494	69891
447	56621	69766
448	56745	69636
449	56875	69514
450	56999	69385
451	57125	69258
452	57250	69130
453	57368	68993
454	57485	68856
455	57602	68719
456	57717	68579
457	57833	68440
458	57949	68302
459	58065	68164
460	58182	68026
461	58299	67890
462	58416	67752
463	58532	67615
464	58649	67478
465	58766	67341
466	58882	67203
467	58998	67066
468	59113	66928
469	59229	66791
470	59346	66654
471	59461	66516
472	59577	66379
473	59693	66242
474	59810	66106
475	59925	65968
476	60040	65831
477	60156	65694
478	60270	65554
479	60385	65417
480	60499	65278
481	60616	65144
482	60731	65006
483	60848	64871
484	60963	64734
485	61079	64598
486	61197	64464
487	61316	64331
488	61436	64200
489	61568	64081
490	61796	64061
491	62008	64025
492	62163	63928
493	62402	63917
494	62622	63887
495	62801	63814
496	62931	63690
497	63057	63564
498	63183	63436
499	63316	63316
500	63462	63209
501	63591	63085
502	63743	62982
503	63901	62887
504	64065	62796
505	64217	62694
506	64363	62585
507	64491	62460
508	64641	62355
509	64800	62259
510	65044	62244
511	65219	62161
512	65337	62026
513	65480	61913
514	65597	61775
515	65711	61636
516	65828	61499
517	65962	61377
518	66105	61265
519	66232	61138
520	66358	61009
521	66487	60883
522	66620	60761
523	66756	60641
524	66922	60549
525	67085	60453
526	67243	60353
527	67382	60235
528	67520	60117
529	67656	59997
530	67820	59901
531	67950	59776
532	68082	59652
533	68207	59522
534	68333	59393
535	68460	59263
536	68585	59134
537	68701	58996
538	68817	58858
539	68935	58723
540	69054	58587
541	69170	58450
542	69288	58314
543	69404	58177
544	69521	58041
545	69638	57904
546	69755	57768
547	69871	57631
548	69993	57499
549	70124	57374
550	70254	57249
551	70402	57138
552	70552	57029
553	70703	56919
554	70851	56808
555	70992	56691
556	71134	56575
557	71299	56477
558	71453	56370
559	71589	56248
560	71714	56119
561	71841	55990
562	72069	55940
563	72257	55858
564	72373	55720
565	72488	55583
566	72604	55445
567	72719	55307
568	72834	55170
569	72953	55034
570	73086	54910
571	73242	54804
572	73388	54688
573	73559	54592
574	73734	54499
575	73893	54394
576	74058	54292
577	74210	54181
578	74345	54057
579	74494	53944
580	74627	53819
581	74751	53687
582	74891	53567
583	75010	53431
584	75138	53303
585	75270	53177
586	75393	53045
587	75531	52923
588	75675	52805
589	75802	52676
590	75943	52556
591	76065	52423
592	76182	52287
593	76305	52154
594	76426	52021
595	76542	51884
596	76660	51749
597	76780	51615
598	76915	51491
599	77074	51383
600	77227	51270
601	77384	51161
602	77525	51040
603	77645	50906
604	77763	50771
605	77888	50640
606	78010	50507
607	78150	50386
608	78282	50260
609	78516	50198
610	78701	50106
611	78841	49984
612	78977	49860
613	79114	49736
614	79251	49612
615	79385	49487
616	79522	49363
617	79648	49232
618	79796	49115
619	79931	48989
620	80065	48864
621	80198	48737
622	80330	48610
623	80467	48486
624	80598	48359
625	80723	48227
626	80850	48097
627	80979	47968
628	81105	47838
629	81230	47706
630	81359	47578
631	81499	47455
632	81636	47331
633	81789	47215
634	81921	47088
635	82066	46969
636	82190	46836
637	82327	46712
638	82474	46593
639	82602	46463
640	82738	46338
641	82867	46209
642	82993	46078
643	83133	45955
644	83251	45820
645	83381	45691
646	83529	45573
647	83662	45446
648	83780	45311
649	83903	45179
650	84026	45046
651	84156	44917
652	84278	44785
653	84403	44654
654	84521	44519
655	84647	44388
656	84776	44259
657	84914	44134
658	85041	44005
659	85169	43875
660	85286	43740
661	85418	43612
662	85552	43485
663	85685	43358
664	85810	43227
665	85945	43101
666	86070	42970
667	86193	42838
668	86312	42704
669	86441	42575
670	86562	42442
671	86693	42314
672	86814	42181
673	86939	42050
674	87061	41918
675	87192	41790
676	87351	41675
677	87475	41544
678	87592	41409
679	87716	41278
680	87834	41144
681	87960	41013
682	88079	40880
683	88202	40748
684	88319	40614
685	88441	40481
686	88564	40350
687	88691	40220
688	88815	40089
689	88937	39957
690	89057	39824
691	89184	39694
692	89306	39562
693	89431	39432
694	89556	39301
695	89681	39171
696	89801	39038
697	89927	38908
698	90047	38775
699	90173	38645
700	90293	38513
701	90417	38382
702	90535	38248
703	90660	38118
704	90783	37987
705	90906	37856
706	91027	37724
707	91151	37593
708	91271	37461
709	91395	37330
710	91517	37199
711	91644	37069
712	91762	36936
713	91884	36805
714	92004	36673
715	92126	36541
716	92245	36409
717	92367	36277
718	92486	36145
719	92606	36013
720	92731	35883
721	92856	35753
722	92975	35621
723	93101	35491
724	93222	35360
725	93353	35232
726	93473	35100
727	93596	34970
728	93724	34841
729	93847	34710
730	93969	34579
731	94093	34449
732	94213	34318
733	94337	34187
734	94472	34061
735	94600	33932
736	94725	33802
737	94854	33674
738	94976	33543
739	95098	33413
740	95219	33281
741	95342	33151
742	95460	33019
743	95585	32889
744	95706	32758
745	95828	32627
746	95948	32496
747	96073	32366
748	96191	32235
749	96315	32105
750	96435	31973
751	96560	31844
752	96681	31713
753	96804	31583
754	96926	31452
755	97048	31322
756	97168	31191
757	97294	31062
758	97418	30932
759	97542	30802
760	97665	30672
761	97789	30543
762	97914	30413
763	98043	30285
764	98200	30166
765	98325	30036
766	98444	29905
