iter	Logloss
0	0.6838289851
1	0.6730417949
2	0.6656690157
3	0.6551524457
4	0.6456577958
5	0.6379847351
6	0.629193518
7	0.6219681396
8	0.6137411027
9	0.607312881
10	0.6001633114
11	0.5911423599
12	0.5836825946
13	0.5778707766
14	0.5702765082
15	0.564349155
16	0.5586971571
17	0.5538073225
18	0.5471352906
19	0.5408607488
20	0.5359607963
21	0.5308067848
22	0.5249750659
23	0.519401922
24	0.5139982251
25	0.5080261791
26	0.5025235985
27	0.4966584585
28	0.4916734508
29	0.4864140243
30	0.4819224621
31	0.4769323449
32	0.472076649
33	0.4675254447
34	0.4631539872
35	0.4586579422
36	0.4546678351
37	0.450008546
38	0.4466924335
39	0.4430857105
40	0.4387419996
41	0.4348161841
42	0.4313261902
43	0.4272083228
44	0.4234116051
45	0.4209345176
46	0.4176569985
47	0.4142874566
48	0.4108095113
49	0.4074546175
50	0.4046110305
51	0.4016552194
52	0.3983362382
53	0.3950113512
54	0.3916926048
55	0.3884059309
56	0.3852746135
57	0.3830229485
58	0.3810776752
59	0.3781294502
60	0.3754520238
61	0.3733229492
62	0.3705265165
63	0.3680741481
64	0.3664985945
65	0.3641050158
66	0.3615638194
67	0.3595864038
68	0.3570490727
69	0.3552472432
70	0.3528345208
71	0.3507367718
72	0.3487975822
73	0.3467817654
74	0.3444372449
75	0.3420064145
76	0.3401940243
77	0.3383015373
78	0.3365242721
79	0.3345233213
80	0.3328167536
81	0.330631966
82	0.3290779036
83	0.3271010949
84	0.3251623557
85	0.3227360151
86	0.3209636233
87	0.3188607849
88	0.3171767451
89	0.3156628478
90	0.3137633068
91	0.3122253857
92	0.3102981101
93	0.3084948547
94	0.3074671384
95	0.3054848377
96	0.3043738489
97	0.3027963856
98	0.3014315503
99	0.2997529933
100	0.2980022008
101	0.2966506679
102	0.2951308381
103	0.2935034085
104	0.2922419318
105	0.2908900664
106	0.2899501279
107	0.2883445738
108	0.2871248119
109	0.2860517422
110	0.2848198422
111	0.2836979313
112	0.2824005776
113	0.2811959073
114	0.2799393182
115	0.2787380897
116	0.2777070274
117	0.2764106471
118	0.2753844312
119	0.274231977
120	0.2731979194
121	0.2722612957
122	0.270848497
123	0.2699677287
124	0.2686635655
125	0.2677296078
126	0.2664483891
127	0.2656953145
128	0.2646690934
129	0.2634783739
130	0.2625895312
131	0.2616564759
132	0.2607456473
133	0.2599452302
134	0.2591259447
135	0.2580769793
136	0.2571310508
137	0.2560939881
138	0.255108794
139	0.2541496371
140	0.2534760796
141	0.2527350905
142	0.2521482804
143	0.2514037177
144	0.2505716174
145	0.2495565566
146	0.2486852211
147	0.2478788482
148	0.2469487855
149	0.246250117
150	0.2455680634
151	0.244441172
152	0.2432475502
153	0.2423599423
154	0.2414688344
155	0.2407372296
156	0.2403468195
